Maand,Dag,Routine naam,Totaal duur,Oefeningen
1,28,Spine Reset,15:46,"Dynamic Cactus • Dynamic Forward Fold • Dynamic Overhead Sequence • Elevated Crossover Stretch • Chest Stretch with a Wall • Side Bend with a Wall • Low Lunge Lean • Tabletop Thoracic Twist • Dynamic Seated Split • Seated Butterfly with Neck Stretch • If you have any questions about this routine or your membership, please contact us at: contact@dynamictriathlete.com"
2,1,Whole Body Routine,17:18,Quad Stretch Arm Extension • Forward Fold Extension • Dynamic Overhead Raise (using a pole/broomstick) • Dynamic Hip Circles (using a pole/broomstick) • Low Lunge - Lizard • Cat - Cow - Frog • Figure Four Sequence • Eagle Arms - Chest Opener
2,2,Upper Body Focus,16:35,Overhead Side Bends (using a pole/broomstick) • Low Lunge - Hamstring Stretch • Downward Dog - Puppy Pose • Thread the Needle to Childs Pose • Seated Twist Sequence • Eagle Arms - Chest Opener • Neck Sequence • Upper Back Release (using a foam roller)
2,3,Lower Body Focus,19:48,Standing Straddle to Side Lunge • Quad Stretch to Arm Extension • Low Lunge - Lizard • Figure Four Sequence • Hamstring Hook Sequence • Roll TFL (using a massage ball) • Roll Calves (using a massage ball)
2,4,Hip Opener,17:19,High Lunge - Warrior • Dynamic Hip Circles • Low Lunge - Lizard • Butterfly Sequence • Seated Four Hamstring Stretch • Pigeon Pose • Roll TFL (using a massage ball)
2,5,Whole Body Routine,16:11,Full Body Opener • Downward Dog - Puppy Pose • Pigeon Pose • Thread the Needle to Childs Pose • Wrist Sequence • Roll Quads (using a foam roller) • Upper Back Release (using a foam roller)
2,6,Dynamic Active Routine,15:32,Full Body Opener • Quad Stretch Arm Extension • Gate Pose Sequence • Low Lunge Hamstring Stretch • Downward Dog - Puppy Pose • Thread the Needle to Childs Pose • Eagle Arms- Chest Opener
2,7,Tension Release,16:27,Butterfly Sequence • Seated Four - Hamstring Stretch • Seated Twist Sequence • Neck Sequence • Wrist Sequence • Roll Hamstrings (using a foam roller) • Roll Quads ( using a massage ball)
2,8,Whole Body Routine,16:11,High Lunge - Warrior • Standing Straddle to Side Lunge • Quad Stretch Arm Extension • Gate Pose Sequence • Neck Sequence • Lower Twist - Knee Hug • Roll Calves (using a massage ball)
2,9,Spine Reset,16:42,Overhead Side Bends (using a pole/broomstick) • Forward Fold Extension • Downward Dog - Puppy Pose • Gate Pose Sequence • Butterfly Sequence • Eagle Arms - Chest Opener • Neck Sequence • Lower Twist - Knee Hug • Upper Back Release (using a foam roller)
2,10,Hamstring & Quad,16:17,Quad Stretch Arm Extension • Forward Fold Extension • Downward Dog - Puppy Pose • Gate Pose Sequence • Butterfly Sequence • Seated Four - Hamstring Stretch • Roll TFL (using a massage ball) • Roll Calves (using a massage ball)
2,11,Upper Body Focus,16:50,Cat - Cow - Frog • Eagle Arms - Chest Opener • Butterfly Sequence • Low Lunge - Hamstring Stretch • Lower Twist - Knee Hug • Neck Sequence • Wrist Sequence • Upper Back release (using a foam roller)
2,12,Dynamic Active Routine 2,15:32,Full Body Opener • Quad Stretch Arm Extension • Gate Pose Sequence • Low Lunge Hamstring Stretch • Downward Dog - Puppy Pose • Thread the Needle to Childs Pose • Eagle Arms- Chest Opener
2,13,Glutes & Groin,15:10,Standing Straddle to Side Lunge • Cat - Cow - Frog • Seated Twist Sequence • Butterfly Sequence • Figure Four Sequence • Lower Twist - Knee Hug
2,14,Whole Body Routine,16:30,Overhead Side Bends (pole/broomstick) • Dynamic Overhead Raise (pole/broomstick) • Low Lunge - Hamstring Stretch • Seated Twist Sequence • Eagle Arms - Chest Opener • Neck Sequence • Roll TFL (using a massage ball) • Roll Hamstring (using a foam roller)
2,15,Spine Reset,16:39,Full Body Opener • Dynamic Overhead Raise (using a pole/broomstick) • Low Lunge - Hamstring Stretch • Cat - Cow - Frog • Thread the Needle to Childs Pose • Seated Twist Sequence • Upper Back Release (using a foam roller)
2,16,Lower Body Focus,16:40,High Lunge to Warrior Pose • Dynamic Hip Circles • Seated Four - Hamstring Stretch • Pigeon Pose • Lower Twist - Knee Hug • Roll Quads • Roll Hamstrings
2,17,Hamstring & Quad,19:13,High Lunge - Warrior • Low Lunge - Hamstring Stretch • Lower Twist - Knee Hug • Hamstring Hook Sequence (using a strap) • Roll Quads (using a foam roller) • Roll Hamstrings (using a foam roller) • Roll Calves (using a foam roller)
2,18,Hip Opener,17:19,High Lunge - Warrior • Dynamic Hip Circles • Low Lunge - Lizard • Butterfly Sequence • Seated Four Hamstring Stretch • Pigeon Pose • Roll TFL (using a massage ball)
2,19,Whole Body Routine,17:34,Forward Fold Extension • Low Lunge - Lizard • Thread the Needle to Childs Pose • Wrist Sequence • Butterfly Sequence • Hamstring Hook Sequence • Upper Back Release
2,20,Upper Body Focus,16:35,Overhead Side Bends (using a pole/broomstick) • Low Lunge - Hamstring Stretch • Downward Dog - Puppy Pose • Thread the Needle to Childs Pose • Seated Twist Sequence • Eagle Arms - Chest Opener • Neck Sequence • Upper Back Release (using a foam roller)
2,21,Tension Release,17:24,Standing Straddle to Side Lunge • Forward Fold Extension • Pigeon Pose • Figure Four Sequence • Hamstring Hook Sequence • Lower Twist - Knee Hug
2,22,Lower Body Focus,19:48,Standing Straddle to Side Lunge • Quad Stretch to Arm Extension • Low Lunge - Lizard • Figure Four Sequence • Hamstring Hook Sequence • Roll TFL (using a massage ball) • Roll Calves (using a massage ball)
2,23,Hamstring & Quad,16:17,Quad Stretch Arm Extension • Forward Fold Extension • Downward Dog - Puppy Pose • Gate Pose Sequence • Butterfly Sequence • Seated Four - Hamstring Stretch • Roll TFL (using a massage ball) • Roll Calves (using a massage ball)
2,24,Whole Body Routine,17:18,Quad Stretch Arm Extension • Forward Fold Extension • Dynamic Overhead Raise (using a pole/broomstick) • Dynamic Hip Circles (using a pole/broomstick) • Low Lunge - Lizard • Cat - Cow - Frog • Figure Four Sequence • Eagle Arms - Chest Opener
2,25,Spine Reset,16:42,Overhead Side Bends (using a pole/broomstick) • Forward Fold Extension • Downward Dog - Puppy Pose • Gate Pose Sequence • Butterfly Sequence • Eagle Arms - Chest Opener • Neck Sequence • Lower Twist - Knee Hug • Upper Back Release (using a foam roller)
2,26,Dynamic Active Routine,15:32,Full Body Opener • Quad Stretch Arm Extension • Gate Pose Sequence • Low Lunge Hamstring Stretch • Downward Dog - Puppy Pose • Thread the Needle to Childs Pose • Eagle Arms- Chest Opener
2,27,Glutes & Groin,15:10,Standing Straddle to Side Lunge • Cat - Cow - Frog • Seated Twist Sequence • Butterfly Sequence • Figure Four Sequence • Lower Twist - Knee Hug
2,28,Tension Release,16:27,Butterfly Sequence • Seated Four - Hamstring Stretch • Seated Twist Sequence • Neck Sequence • Wrist Sequence • Roll Hamstrings (using a foam roller) • Roll Quads ( using a massage ball)
3,1,Whole Body Routine,16:19,Dynamic Quad Stretch • Forward Fold • Upper Body Stretch • Dynamic Seated Split • Dynamic Lower Twist • Lateral Neck Stretch • Finger Stretches • Dynamic Supine Figure Four • Scorpion
3,2,Lower Body Focus,14:25,Standing Calf Stretch • Dynamic Center Stretch • Kneeling Achilles & Calf Stretch • Hero Pose • Hip Sways • Dynamic Downward Dog • Dynamic Supine Figure Four • Psoas Stretch (using a foam roller)
3,3,Upper Body Focus,15:38,Dynamic External Rotation • Tricep Stretch (using a strap) • Seated Chest Stretch (using a chair) • Supine Crossover • Dynamic Lower Twist • Releasing Lats (using a foam roller) • Kneeling Wrist Sequence • Finger Stretches
3,4,Glutes & Groin Focus,14:55,Dynamic Center Stretch • Runners Lunge • Dynamic Seated Split • Supine Single Leg Butterfly • Dynamic Supine Figure Four • Hip Sways • Happy Baby Sequence • Butterfly Stretch with a wall
3,5,Dynamic Active Routine,15:47,Dynamic Quad Stretch • Wrist Sequence • Dynamic External Rotation • Tricep Stretch (using a strap) • Dynamic Low Lunge Rotation • Dynamic Downward Dog • Dynamic Supine Figure Four • Dynamic Lower Twist
3,6,Hip Opener,15:07,Dynamic Center Stretch • High Lunge with Chest Stretch • Dynamic Ninja • Pretzel Stretch • Hip Sways • Dynamic Seated Split • Supine Single Leg Butterfly • Psoas Stretch (using a foam roller)
3,7,Hamstring & Quad Focus,14:28,Forward Fold • Assisted Low Lunge with a chair • Runners Lunge • Dynamic Downward Dog • Dynamic Seated Split • Dynamic Lower Twist • Pretzel Stretch
3,8,Whole Body Routine,14:20,Dynamic Side Bends • Standing Calf Stretch • Dynamic Ninja • Spine Twist (using a chair) • Pretzel Stretch • Supine Single Leg Butterfly • Psoas Stretch (using a foam roller)
3,9,Spine Reset,15:02,Dynamic Side Bends • Forward Fold • Spine Twist (using a chair) • Dynamic Low Lunge Rotation • Thread the Needle • Scorpion • Happy Baby Sequence • Childs Pose Rotation
3,10,Lower Body Focus,15:38,Hip Hinge Toe Grab • Dynamic Ninja • Assisted Low Lunge (using a chair) • Hamstring Stretch (using a chair) • Runners Lunge • Dynamic Seated Split • Supine Single Leg Butterfly
3,11,Upper Body Focus,14:59,Dynamic Side Bends • Wrist Sequence • Spine Twist (using a chair) • Dynamic Low Lunge Rotation • Lifted Child's Pose (using a block) • Thread the Needle • Lateral Neck Stretch • Childs Pose Rotation
3,12,Whole Body Routine,15:55,Dynamic External Rotation • Dynamic Center Stretch • Seated Chest Stretch (using a chair) • Seated Dynamic Side Bends • Hip Sways • Hero Pose • Dynamic Downward Dog • Happy Baby Sequence • Releasing Lats (using a foam roller) • Childs Pose Rotation
3,13,Tension Release,15:42,"Hamstring Stretch (using a chair) • Quad Stretch (using a wall, optional to use cloth/cushion) • Butterfly Stretch (using a wall) • Lateral Neck Stretch • Kneeling Achilles & Calf Stretch • Scorpion • Kneeling Wrist Sequence • Childs Pose Rotation"
3,14,Hamstring & Quad Focus,15:48,Dynamic Quad Stretch • Dynamic Ninja • Hamstring Stretch with a chair • Hero Pose • Hip Sways • Happy Baby Sequence • Quad Stretch with a wall • Psoas Stretch with a roller
3,15,Glutes & Groin Focus,14:55,Dynamic Center Stretch • Runners Lunge • Dynamic Seated Split • Supine Single Leg Butterfly • Dynamic Supine Figure Four • Hip Sways • Happy Baby Sequence • Butterfly Stretch with a wall
3,16,Hip Opener,15:07,Dynamic Center Stretch • High Lunge with Chest Stretch • Dynamic Ninja • Pretzel Stretch • Hip Sways • Dynamic Seated Split • Supine Single Leg Butterfly • Psoas Stretch (using a foam roller)
3,17,Dynamic Active Routine,15:47,Dynamic Quad Stretch • Wrist Sequence • Dynamic External Rotation • Tricep Stretch (using a strap) • Dynamic Low Lunge Rotation • Dynamic Downward Dog • Dynamic Supine Figure Four • Dynamic Lower Twist
3,18,Whole Body Routine,16:53,Hip Hinge Toe Grab • High Lunge with Chest Stretch • Tricep Stretch (using a strap) • Lifted Child's Pose (using a block) • Supine Crossover • Kneeling Wrist Sequence • Quad Stretch (using a wall) • Butterfly Stretch (using a wall)
3,19,Lower Body Focus,14:25,Standing Calf Stretch • Dynamic Center Stretch • Kneeling Achilles & Calf Stretch • Hero Pose • Hip Sways • Dynamic Downward Dog • Dynamic Supine Figure Four • Psoas Stretch (using a foam roller)
3,20,Spine Reset,16:00,Tricep Stretch (using a strap) • Seated Dynamic Side Bends • Lateral Neck Stretch • Kneeling Achilles & Calf Stretch • Runners Lunge • Dynamic Lower Twist • Supine Crossover • Lifted Child's Pose (using a block)
3,21,Hamstring & Quad Focus,14:28,Forward Fold • Assisted Low Lunge with a chair • Runners Lunge • Dynamic Downward Dog • Dynamic Seated Split • Dynamic Lower Twist • Pretzel Stretch
3,22,Tension Release,13:59,Hip Hinge Toe Grab • Seated Chest Stretch (using a chair) • Assisted Low Lunge (using a chair) • Supine Single Leg Butterfly • Pretzel Stretch • Lifted Child's Pose (using a block)
3,23,Upper Body Focus,15:38,Dynamic External Rotation • Tricep Stretch (using a strap) • Seated Chest Stretch (using a chair) • Supine Crossover • Dynamic Lower Twist • Releasing Lats (using a foam roller) • Kneeling Wrist Sequence • Finger Stretches
3,24,Whole Body Routine,15:55,Dynamic External Rotation • Dynamic Center Stretch • Seated Chest Stretch (using a chair) • Seated Dynamic Side Bends • Hip Sways • Hero Pose • Dynamic Downward Dog • Happy Baby Sequence • Releasing Lats (using a foam roller) • Childs Pose Rotation
3,25,Hip Opener,15:07,Dynamic Center Stretch • High Lunge with Chest Stretch • Dynamic Ninja • Pretzel Stretch • Hip Sways • Dynamic Seated Split • Supine Single Leg Butterfly • Psoas Stretch (using a foam roller)
3,26,Spine Reset,16:00,Tricep Stretch (using a strap) • Seated Dynamic Side Bends • Lateral Neck Stretch • Kneeling Achilles & Calf Stretch • Runners Lunge • Dynamic Lower Twist • Supine Crossover • Lifted Child's Pose (using a block)
3,27,Tension Release,15:42,"Hamstring Stretch (using a chair) • Quad Stretch (using a wall, optional to use cloth/cushion) • Butterfly Stretch (using a wall) • Lateral Neck Stretch • Kneeling Achilles & Calf Stretch • Scorpion • Kneeling Wrist Sequence • Childs Pose Rotation"
3,28,Dynamic Active Routine,15:47,Dynamic Quad Stretch • Wrist Sequence • Dynamic External Rotation • Tricep Stretch (using a strap) • Dynamic Low Lunge Rotation • Dynamic Downward Dog • Dynamic Supine Figure Four • Dynamic Lower Twist
4,1,Whole Body Routine,16:55,Dynamic Cactus • Standing Side Body Stretch • Chest Stretch with a wall • Calf Stretch with a wall • Dynamic Wrist Sequence • Standing Tricep Stretch • Dynamic Downward Dog • Low Lunge Quad Stretch • Dynamic Seated Hamstring Stretch • Lat Stretch with a foam roller • Roll Quads with a foam roller
4,2,Leg Focus,16:14,Lunge Quad Stretch with a chair • Hamstring Stretch with a chair • Calf Stretch with a wall • Dynamic Half Star • Low Lunge Quad Stretch • Dynamic Downward Dog • Dynamic Seated Hamstring Stretch • 90/90 Quad Stretch • Roll Quads with a foam roller
4,3,Upper Body Focus,15:54,Dynamic Prayer Stretch • Standing Tricep Stretch • 90 Shoulder Stretch • Elevated Lat Stretch • Chest & Shoulder Stretch with a chair • Standing Side Body Stretch • Dynamic Chest Stretch • Neck Sequence • Dynamic Kneeling Chest Stretch • Roll Biceps with a ball • Roll Lats with a foam roller
4,4,Spine Reset,16:15,Shoulder Stretch with a pole • Standing Side Body Stretch • Dynamic Star • Dynamic Chest Stretch • 90 Shoulder Stretch • Elevated Lat Stretch • Chest & Shoulder Stretch with a chair • Dynamic Kneeling Chest Stretch • Dynamic Cobra • Childs Pose with Lat Stretch • Supine Twist • Roll Lats with a foam roller
4,5,Dynamic Active Routine,17:17,Dynamic Cactus • Dynamic Hamstring to Hip Stretch • Dynamic Prayer Stretch • Shoulder Stretch with a pole • Dynamic Chest Stretch • Low Lunge Quad Stretch • Roll Lats with a foam roller • Dynamic Cobra • Roll Biceps with a ball • Roll Forearms with a ball • Supine Twist
4,6,Hamstring & Quad,16:59,Dynamic Star • Dynamic Hamstring to Hip Stretch • Lunge Quad Stretch with a chair • Hamstring Stretch with a chair • Calf Stretch with a wall • 90/90 Quad Stretch • Dynamic Downward Dog • Dynamic Kneeling Chest Stretch • Supine Twist • Roll Quads with a foam roller
4,7,Whole Body Routine,16:33,Dynamic Prayer Stretch • Side Stretch with a wall • Roll Traps with a ball & wall • Neck Sequence • Elevated Lat Stretch • Hamstring Stretch with a chair • Shoulder Stretch with a pole • Quad Stretch with a chair • 90/90 Quad Stretch • Dynamic Seated Hamstring Stretch
4,8,Tension Release,15:50,Neck Sequence • Calf Stretch with a wall • Chest Stretch with a wall • Roll Traps with a ball & wall • Elevated Lat Stretch with a chair • Roll Biceps with a ball • Roll Forearms with a ball • Roll Lats with a foam roller • Supine Twist • Roll Quads with a foam roller
4,9,Glutes & Groin Focus,15:51,Dynamic Half Star • Standing Quad Stretch • Hamstring Stretch with a chair • Calf Stretch with a wall • Dynamic Star • Childs Pose with Lat Stretch • 90/90 Quad Stretch • Dynamic Seated Hamstring Stretch • Supine Twist • Lat Stretch with a foam roller
4,10,Hip Opener,15:40,Dynamic Hamstring to Hip Stretch • Standing Quad Stretch • Dynamic Star • Lunge Quad Stretch with a chair • Hamstring Stretch with a chair • Low Lunge Quad Stretch • Dynamic Cobra • Childs Pose with Lat Stretch • 90/90 Quad Stretch
4,11,Leg Focus,17:36,Standing Side Body Stretch • Dynamic Hamstring to Hip Stretch • Hamstring Stretch with a chair • Dynamic Star • Calf Stretch with a wall • Quad Stretch with a chair • Dynamic Downward Dog • Low Lunge Quad Stretch • Dynamic Seated Hamstring Stretch • Roll Quads with a foam roller
4,12,Whole Body Routine,15:29,Dynamic Chest Stretch • Standing Tricep Stretch • Dynamic Wrist Sequence • 90 Shoulder Stretch • Standing Quad Stretch • Dynamic Downward Dog • Childs Pose with Lat Stretch • Roll Forearms with a ball • Roll Biceps with a ball • Supine Twist
4,13,Spine Reset,16:31,Dynamic Cactus • Side Stretch with a wall • Roll Traps with a ball & wall • Chest Stretch with a wall • Dynamic Half Star • Dynamic Chest Stretch • Standing Tricep Stretch • Neck Sequence • Dynamic Kneeling Chest Stretch • Dynamic Cobra • Supine Twist • Lat Stretch with a foam roller
4,14,Upper Body Focus,17:01,Side Stretch with a wall • Roll Traps with a ball & wall • Chest Stretch with a wall • Dynamic Wrist Sequence • Dynamic Cactus • 90 Shoulder Stretch • Shoulder Stretch with a pole • Dynamic Prayer Stretch • Lat Stretch with a foam roller • Dynamic Cobra • Supine Twist • Childs Pose with Lat Stretch
4,15,Dynamic Active Routine,17:17,Dynamic Cactus • Dynamic Hamstring to Hip Stretch • Dynamic Prayer Stretch • Shoulder Stretch with a pole • Dynamic Chest Stretch • Low Lunge Quad Stretch • Roll Lats with a foam roller • Dynamic Cobra • Roll Biceps with a ball • Roll Forearms with a ball • Supine Twist
4,16,Hamstring & Quad,16:13,Dynamic Half Star • Standing Quad Stretch • Dynamic Hamstring to Hip Stretch • Dynamic Star • Quad Stretch with a chair • Dynamic Seated Hamstring Stretch • Dynamic Cobra • 90/90 Quad Stretch • Roll Quads with a foam roller
4,17,Whole Body Routine,16:05,Standing Side Body Stretch • Dynamic Half Star • 90 Shoulder Stretch • Dynamic Prayer Stretch • Dynamic Chest Stretch • Dynamic Hamstring to Hip Stretch • Quad Stretch with a chair • Dynamic Cobra • Childs Pose with Lat Stretch • Roll Quads with a foam roller
4,18,Tension Release,16:44,Chest & Shoulder Stretch with a chair • Hamstring Stretch with a chair • Lunge Quad Stretch with a chair • Standing Side Body Stretch • Neck Sequence • Quad Stretch with a chair • Dynamic Downward Dog • Lat Stretch with a foam roller • Roll Lats with a foam roller • Roll Forearms with a ball
4,19,Glutes & Groin Focus,15:51,Dynamic Half Star • Standing Quad Stretch • Hamstring Stretch with a chair • Calf Stretch with a wall • Dynamic Star • Childs Pose with Lat Stretch • 90/90 Quad Stretch • Dynamic Seated Hamstring Stretch • Supine Twist • Lat Stretch with a foam roller
4,20,Leg Focus,16:14,Lunge Quad Stretch with a chair • Hamstring Stretch with a chair • Calf Stretch with a wall • Dynamic Half Star • Low Lunge Quad Stretch • Dynamic Downward Dog • Dynamic Seated Hamstring Stretch • 90/90 Quad Stretch • Roll Quads with a foam roller
4,21,Hip Opener,15:40,Dynamic Hamstring to Hip Stretch • Standing Quad Stretch • Dynamic Star • Lunge Quad Stretch with a chair • Hamstring Stretch with a chair • Low Lunge Quad Stretch • Dynamic Cobra • Childs Pose with Lat Stretch • 90/90 Quad Stretch
4,22,Whole Body Routine,16:44,Side Stretch with a wall • Chest Stretch with a wall • Dynamic Half Star • Dynamic Wrist Sequence • Lunge Quad Stretch with a chair • Elevated Lat Stretch • Chest & Shoulder Stretch with a chair • Dynamic Seated Hamstring Stretch • 90/90 Quad Stretch • Roll Quads with a foam roller
4,23,Spine Reset,16:15,Shoulder Stretch with a pole • Standing Side Body Stretch • Dynamic Star • Dynamic Chest Stretch • 90 Shoulder Stretch • Elevated Lat Stretch • Chest & Shoulder Stretch with a chair • Dynamic Kneeling Chest Stretch • Dynamic Cobra • Childs Pose with Lat Stretch • Supine Twist • Roll Lats with a foam roller
4,24,Hamstring & Quad,16:59,Dynamic Star • Dynamic Hamstring to Hip Stretch • Lunge Quad Stretch with a chair • Hamstring Stretch with a chair • Calf Stretch with a wall • 90/90 Quad Stretch • Dynamic Downward Dog • Dynamic Kneeling Chest Stretch • Supine Twist • Roll Quads with a foam roller
